,undergrad,grad,source,target,job,counts
146,Mathematical Sciences,MS in Cybersecurity,25,17,,31.440329218106996
145,Mathematical Sciences,MS in Biotech. Management & Entrepreneurship,25,16,,30.2880658436214
144,Mathematical Sciences,MS in Artificial Intelligence,25,15,,31.440329218106996
147,Mathematical Sciences,MS in Data Analytics and Visualization,25,18,,40.37037037037037
155,Other,MS in Biotech. Management & Entrepreneurship,26,16,,30.864197530864196
156,Other,MS in Cybersecurity,26,17,,30.576131687242796
157,Other,MS in Data Analytics and Visualization,26,18,,32.88065843621399
158,Other,MS in Digital Marketing and Media,26,19,,32.016460905349795
160,Other,MS in Mathematics,26,20,,30.0
161,Other,MS in Quantitative Economics,26,23,,30.576131687242796
164,Other,MS in Speech-Language Pathology,26,24,,30.864197530864196
169,Physics And Astronomy,MS in Quantitative Economics,27,23,,30.0
167,Physics And Astronomy,MS in Mathematics,27,20,,30.0
168,Physics And Astronomy,MS in Physics,27,22,,30.864197530864196
165,Physics And Astronomy,MS in Artificial Intelligence,27,15,,30.0
166,Physics And Astronomy,MS in Data Analytics and Visualization,27,18,,30.2880658436214
171,Political Science,MS in Biotech. Management & Entrepreneurship,28,16,,30.0
172,Political Science,MS in Cybersecurity,28,17,,30.864197530864196
173,Political Science,MS in Data Analytics and Visualization,28,18,,30.576131687242796
174,Political Science,MS in Digital Marketing and Media,28,19,,30.576131687242796
180,Psychology,MS in Biotech. Management & Entrepreneurship,29,16,,31.728395061728396
181,Psychology,MS in Cybersecurity,29,17,,31.152263374485596
182,Psychology,MS in Data Analytics and Visualization,29,18,,32.016460905349795
183,Psychology,MS in Digital Marketing and Media,29,19,,33.16872427983539
185,Psychology,MS in Mathematics,29,20,,30.0
188,Psychology,MS in Speech-Language Pathology,29,24,,37.489711934156375
189,Social Work,MS in Digital Marketing and Media,30,19,,30.864197530864196
192,Sociology,MS in Digital Marketing and Media,31,19,,30.576131687242796
191,Sociology,MS in Data Analytics and Visualization,31,18,,30.0
196,Sociology,MS in Speech-Language Pathology,31,24,,30.2880658436214
0,,Biotech. Management & Entrepreneurship,0,32,Product Manager,38.35390946502058
1,,Biotech. Management & Entrepreneurship,0,33,Program Manager,38.35390946502058
2,,Biotech. Management & Entrepreneurship,0,34,Project Manager,38.35390946502058
3,,Biotech. Management & Entrepreneurship,0,35,Market Manager,38.35390946502058
4,,Biotech. Management & Entrepreneurship,0,36,Clinical Trials Manager,38.35390946502058
5,,Biotech. Management & Entrepreneurship,0,37,Compliance Auditor,38.35390946502058
6,,Biotech. Management & Entrepreneurship,0,38,Regulatory Affairs Specialist,38.35390946502058
7,,Biotech. Management & Entrepreneurship,0,39,Patent Manager,38.35390946502058
8,,Biotech. Management & Entrepreneurship,0,40,Business Development Specialist,38.35390946502058
9,,Cybersecurity,0,41,Cybersecurity Engineer,38.35390946502058
10,,Cybersecurity,0,42,IT Security Director,38.35390946502058
11,,Cybersecurity,0,43,Info Assurance Specialist,38.35390946502058
12,,Cybersecurity,0,44,Cybersecurity Analyst,38.35390946502058
13,,Data Analytics and Visualization,0,45,Analyst,38.35390946502058
14,,Data Analytics and Visualization,0,46,Data Scientist,38.35390946502058
15,,Data Analytics and Visualization,0,32,Product Manager,38.35390946502058
16,,Data Analytics and Visualization,0,47,Start-up Founder,38.35390946502058
17,,Digital Marketing and Media,0,48,Brand Manager,38.35390946502058
18,,Digital Marketing and Media,0,48,Brand Manager,38.35390946502058
19,,Digital Marketing and Media,0,49,Creative Director,38.35390946502058
20,,Digital Marketing and Media,0,50,Digital Marketing Manager,38.35390946502058
21,,Digital Marketing and Media,0,51,Marketing Communications Manager,38.35390946502058
22,,Digital Marketing and Media,0,52,Marketing Director,38.35390946502058
23,,Digital Marketing and Media,0,53,Marketing Operations Director,38.35390946502058
24,,Digital Marketing and Media,0,54,Market Research Analyst,38.35390946502058
25,,Digital Marketing and Media,0,55,Media Director,38.35390946502058
26,,Digital Marketing and Media,0,56,Product Development Manager,38.35390946502058
27,,Digital Marketing and Media,0,57,Public Relations Manager,38.35390946502058
28,,Digital Marketing and Media,0,58,Sales Manager,38.35390946502058
29,,Digital Marketing and Media,0,59,Senior Marketing Program Manager,38.35390946502058
30,,Digital Marketing and Media,0,60,SEO/SEM Manager,38.35390946502058
31,,Mathematics,0,61,Actuary,38.35390946502058
32,,Mathematics,0,62,Data analyst,38.35390946502058
33,,Mathematics,0,63,Financial analyst,38.35390946502058
34,,Mathematics,0,64,Investment Analyst,38.35390946502058
35,,Mathematics,0,65,Mathematician,38.35390946502058
36,,Mathematics,0,66,Quantitative Analyst,38.35390946502058
37,,Mathematics,0,67,Statistician,38.35390946502058
38,,Quantitative Economics,0,68,Econometrician,38.35390946502058
39,,Quantitative Economics,0,69,Financial Analyst,38.35390946502058
40,,Quantitative Economics,0,66,Quantitative Analyst,38.35390946502058
41,,Quantitative Economics,0,70,Compliance Manager,38.35390946502058
42,,Artificial Intelligence,0,71,Machine Learing Engineer,38.35390946502058
43,,Artificial Intelligence,0,72,Artificial Intelligence Research,38.35390946502058
44,,Artificial Intelligence,0,46,Data Scientist,38.35390946502058
45,,Artificial Intelligence,0,73,Computer Vision Engineer,38.35390946502058
46,,Speech-Language Pathology,0,74,Speech Pathologist,38.35390946502058
47,,Speech-Language Pathology,0,75,Pediatric Speech Pathologist,38.35390946502058
48,,Speech-Language Pathology,0,76,Professor,38.35390946502058
49,,Physics,0,77,Astronomer,38.35390946502058
50,,Physics,0,78,Physicists,38.35390946502058
51,,Physics,0,79,Aerospace Engineer,38.35390946502058
52,,Physics,0,80,Biochemists and Biophysicists,38.35390946502058
53,,Physics,0,81,Physics Teachers,38.35390946502058
54,,Occupational Therapy,0,82,Occupational Therapist,38.35390946502058
55,,Occupational Therapy,0,83,Clinic Director,38.35390946502058
56,,Occupational Therapy,0,84,Health Specialties College Instructor,38.35390946502058
57,,Occupational Therapy,0,85,Rehabilitation Manager,38.35390946502058
58,,Occupational Therapy,0,86,Pediatric Occupational Therapist,38.35390946502058
